cnae,id,descricao,divisao,status,anexos,fatorR,motivo,origem
0111-3/01,0111301,Cultivo de arroz,01,OPTANTE,I,NAO,Curadoria tabela 2026,curadoria
0111-3/02,0111302,Cultivo de milho,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0111-3/03,0111303,Cultivo de trigo,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0111-3/99,0111399,Cultivo de outros cereais não especificados anteriormente,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0112-1/01,0112101,Cultivo de algodão herbáceo,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0112-1/02,0112102,Cultivo de juta,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0112-1/99,0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0113-0/00,0113000,Cultivo de cana-de-açúcar,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0114-8/00,0114800,Cultivo de fumo,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0115-6/00,0115600,Cultivo de soja,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0116-4/01,0116401,Cultivo de amendoim,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0116-4/02,0116402,Cultivo de girassol,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0116-4/03,0116403,Cultivo de mamona,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0116-4/99,0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/01,0119901,Cultivo de abacaxi,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/02,0119902,Cultivo de alho,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/03,0119903,Cultivo de batata-inglesa,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/04,0119904,Cultivo de cebola,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/05,0119905,Cultivo de feijão,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/06,0119906,Cultivo de mandioca,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/07,0119907,Cultivo de melão,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/08,0119908,Cultivo de melancia,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/09,0119909,Cultivo de tomate rasteiro,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0119-9/99,0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0121-1/01,0121101,"Horticultura, exceto morango",01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0121-1/02,0121102,Cultivo de morango,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0122-9/00,0122900,Cultivo de flores e plantas ornamentais,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0131-8/00,0131800,Cultivo de laranja,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0132-6/00,0132600,Cultivo de uva,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/01,0133401,Cultivo de açaí,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/02,0133402,Cultivo de banana,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/03,0133403,Cultivo de caju,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/04,0133404,"Cultivo de cítricos, exceto laranja",01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/05,0133405,Cultivo de coco-da-baía,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/06,0133406,Cultivo de guaraná,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/07,0133407,Cultivo de maçã,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/08,0133408,Cultivo de mamão,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/09,0133409,Cultivo de maracujá,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/10,0133410,Cultivo de manga,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/11,0133411,Cultivo de pêssego,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0133-4/99,0133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0134-2/00,0134200,Cultivo de café,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0135-1/00,0135100,Cultivo de cacau,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/01,0139301,Cultivo de chá-da-índia,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/02,0139302,Cultivo de erva-mate,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/03,0139303,Cultivo de pimenta-do-reino,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/04,0139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino",01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/05,0139305,Cultivo de dendê,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/06,0139306,Cultivo de seringueira,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0139-3/99,0139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0141-5/01,0141501,"Produção de sementes certificadas, exceto de forrageiras para pasto",01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0141-5/02,0141502,Produção de sementes certificadas de forrageiras para formação de pasto,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0142-3/00,0142300,"Produção de mudas e outras formas de propagação vegetal, certificadas",01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
0151-2/01,0151201,Criação de bovinos para corte,01,OPTANTE,I,NAO,Agro/pecuária/pesca — Anexo I (ou II se industrializar),regra
